0.0		4.20323
1.0		4.20326
2.0		4.20325
4.0		4.20322
5.0		4.20319
6.0		4.20315
7.0		4.20309
8.0		4.20300
9.0		4.20288
10.0		4.20266
11.0		4.20234
12.0		4.20183
13.0		4.20099
14.0		4.19965
15.0		4.19740
16.0		4.19359
17.0		4.18716
18.0		4.17605
19.0		4.15699
20.0		4.12490
21.0		4.07393
22.0		3.99876
23.0		3.89942
24.0		3.78316
25.0		3.66692
26.0		3.56320
27.0		3.47715
28.0		3.40802
29.0		3.35097
30.0		3.30296
31.0		3.26390
32.0		3.23355
33.0		3.21158
34.0		3.19652
35.0		3.18645
36.0		3.17958
37.0		3.17540
38.0		3.17275
39.0		3.17112
40.0		3.17009
41.0		3.16915
42.0		3.16870
43.0		3.16841
44.0		3.16812
45.0		3.16797
