0   4.20324 
1   4.20327 
2   4.20325 
3   4.20324 
4   4.20322 
5   4.20319 
6   4.20316 
7   4.20311 
8   4.20305 
9   4.20296 
10  4.20282 
11  4.20262 
12  4.20227 
13  4.20169 
14  4.20052 
15  4.19778 
16  4.18896 
17  4.13244 
18  3.91295 
19  3.59196 
20  3.43306 
21  3.39154 
22  3.38037 
23  3.34194 
24  3.27591 
25  3.22323 
26  3.19625 
27  3.18413 
28  3.17807 
29  3.17443 
30  3.17207 
31  3.17099 
32  3.16995 
33  3.16933 
34  3.16870 
35  3.16832  
36  3.16829  
37  3.16817  
38  3.16797  
39  3.16773  
40  3.16755  
41  3.16752  
42  3.16756  
43  3.16763  
44  3.16759  
