0   4.20344
1   4.20347
2   4.20346
3   4.20346
4   4.20346
5   4.20346
6   4.20346
7   4.20346
8   4.20345
9   4.20346
10  4.20345
11  4.20345
12  4.20345
13  4.20345
14  4.20345
15  4.20344
16  4.20344
17  4.20345
18  4.20343
19  4.20343
20  4.20343
21  4.20342
22  4.20342
23  4.20340
24  4.20339
25  4.20337
26  4.20335
27  4.20333
28  4.20329
29  4.20324
30  4.20316
31  4.20305
32  4.20289
33  4.20260
34  4.20209
35  4.20108
36  4.19862
37  4.19022
38  4.14202
39  3.95378
40  3.65261
41  3.46475
42  3.40816
43  3.38854
44  3.34755
45  3.28055   
46  3.22640   
47  3.19874   
48  3.18584   
49  3.17961   
50  3.17558   
51  3.17296   
52  3.17172   
53  3.17068   
54  3.16987   
55  3.16916   
56  3.16874   
57  3.16859   
58  3.16851   
59  3.16830   
60  3.16801   
61  3.16785   
62  3.16776   
63  3.16770   
64  3.16768   
65  3.16769   
