0.0		4.20324
1.0		4.20327
2.0		4.20326
4.0		4.20324
5.0		4.20322
6.0		4.20319
7.0		4.20316
8.0		4.20311
9.0		4.20305
10.0		4.20294
11.0		4.20279
12.0		4.20254
13.0		4.20211
14.0		4.20141
15.0		4.20003
16.0		4.19686
17.0		4.18882
18.0		4.16540
19.0		4.10162
20.0		3.96039
21.0		3.75879
22.0		3.57746
23.0		3.46557
24.0		3.40553
25.0		3.36071
26.0		3.31265
27.0		3.26372
28.0		3.22396
29.0		3.20012
30.0		3.18576
31.0		3.17812
32.0		3.17473
33.0		3.17222
34.0		3.17080
35.0		3.16976
36.0		3.16923
37.0		3.16892
38.0		3.16843
39.0		3.16820
40.0		3.16796
41.0		3.16789
42.0		3.16786
43.0		3.16770
44.0		3.16757
45.0		3.16753
