# Points   U_ee              U_NN         U_pol               alpha    
644	    -177.1843709402	-176.9864633814  -0.0082403757       76.509925
848	    -177.4319434613	-177.2364125526  -0.0082764078       76.564455
1644	-177.5902437695	-177.3969304062  -0.0082999931       76.607371
3052	-177.702596576	-177.5122030144  -0.0083165689       76.642903
5289	-177.7542664617	-177.5654723301  -0.0083263533       76.654587













